DATE,TIME,PLACE,AMOUNT,ACCOUNT,EXPENSE,CATEGORY,TAGS,NOTE
04-04-16,08:48 AM,INDIAN RAILWAY,-270,IRCTC Messages,No,UNKNOWN,,Indian Railway refund
06-04-16,11:49 PM,CITRUS PAY* JAZZCINE,840,CitiBank credit 4456,Yes,ENTERTAINMENT,,
07-04-16,11:01 AM,IRCTC,512.9,CitiBank credit 4456,Yes,TRAVEL,#Online,
09-04-16,03:28 PM,INDIAN RAILWAY,-330,IRCTC Messages,No,UNKNOWN,,Indian Railway refund
11-04-16,11:03 AM,IRCTC,467.9,CitiBank credit 4456,Yes,TRAVEL,#Online,
21-04-16,11:03 AM,IRCTC,467.9,CitiBank credit 4456,Yes,TRAVEL,#Online,
10-05-16,03:15 PM,KOTTARAM,215,CitiBank credit 4456,Yes,FOOD & DRINKS,,
10-05-16,07:38 PM,SUN DIRECT TV,"1,000",CitiBank credit 4456,Yes,ENTERTAINMENT,,
11-05-16,02:09 PM,KOTTARAM,600,CitiBank credit 4456,Yes,FOOD & DRINKS,,
12-05-16,11:04 AM,IRCTC,467.9,CitiBank credit 4456,Yes,TRAVEL,#Online,
12-05-16,11:12 AM,REDBUS,"1,999",CitiBank credit 4456,Yes,TRAVEL,#Online,
12-05-16,08:44 PM,ATHOIBA,220,CitiBank credit 4456,Yes,FOOD & DRINKS,,
14-05-16,04:59 PM,SOUTH MALABAR TRADIN,272,CitiBank credit 4456,Yes,OTHER,,
19-05-16,11:48 AM,RELIANCEINFO-BILLD,571.35,CitiBank credit 4456,Yes,MOBILE BILLS,,
19-05-16,01:31 PM,KOTTARAM,405,CitiBank credit 4456,Yes,FOOD & DRINKS,,
21-05-16,05:49 PM,HOTEL RUNS,89,CitiBank credit 4456,Yes,FOOD & DRINKS,,
23-05-16,11:02 AM,IRCTC,467.9,CitiBank credit 4456,Yes,TRAVEL,#Online,
31-05-16,08:45 AM,RADHA DRIVING SCHOOL,"2,000",CitiBank credit 4456,Yes,OTHER,,
01-06-16,03:59 PM,AMAZON,"1,362",CitiBank credit 4456,Yes,SHOPPING,#Online,
02-06-16,11:02 AM,IRCTC,468,CitiBank credit 4456,Yes,TRAVEL,#Online,
02-06-16,11:26 AM,REDBUS,"1,187",CitiBank credit 4456,Yes,TRAVEL,#Online,
04-06-16,01:16 PM,INDIAN RAILWAY,-385,IRCTC Messages,No,UNKNOWN,,Indian Railway refund
06-06-16,11:05 AM,IRCTC,468,CitiBank credit 4456,Yes,TRAVEL,#Online,
07-06-16,02:28 PM,SEA SHELL,"1,592",CitiBank credit 4456,Yes,FOOD & DRINKS,,
07-06-16,05:20 PM,WWW OLACABS COM,599,CitiBank credit 4456,Yes,TRAVEL,,
07-06-16,06:08 PM,OLA,346,OlaCab Messages,No,TRAVEL,#Online,
08-06-16,07:41 PM,ELITE SUPER MARKET,"4,288",CitiBank credit 4456,Yes,GROCERIES,,
08-06-16,08:22 PM,STERLING APPLIANCES,"1,242",CitiBank credit 4456,Yes,SHOPPING,,
09-06-16,09:23 PM,ORANGE BAKERS,500,CitiBank credit 4456,Yes,FOOD & DRINKS,,
10-06-16,03:55 PM,AARYA MEDICAL CENTRE,"3,110",CitiBank credit 4456,Yes,GROCERIES,,
10-06-16,03:59 PM,AARYA MEDICAL CENTRE,172,CitiBank credit 4456,Yes,GROCERIES,,
10-06-16,07:39 PM,PITTAPPILLIL AGENCIES,"34,700",CitiBank credit 4456,Yes,SHOPPING,,
10-06-16,07:41 PM,PITTAPPILLIL AGENCIES,"30,000",CitiBank credit 4456,Yes,SHOPPING,,
13-06-16,12:00 PM,RENT ADVANCE,"30,000",CASH Spends,Yes,OTHER,,"House deposit, will get back though"
22-06-16,07:51 PM,RELIANCEINFO-BILLD,573.85,CitiBank credit 4456,Yes,MOBILE BILLS,,
23-06-16,02:51 PM,BOOKMYSHOW,320.52,CitiBank credit 4456,Yes,ENTERTAINMENT,#Online,
23-06-16,09:36 PM,TRAVANCORE FOOD,262,CitiBank credit 4456,Yes,FOOD & DRINKS,,
28-06-16,07:26 PM,ELITE SUPER MARKET,"1,190",CitiBank credit 4456,Yes,GROCERIES,,
30-06-16,12:00 PM,COMPUTER TABLE,"3,500",CASH Spends,Yes,SHOPPING,,
30-06-16,12:00 PM,COMPUTER CHAIR,"3,500",CASH Spends,Yes,SHOPPING,,
30-06-16,12:00 PM,GIFT VOUCHER GOPHERCON,"25,000",CASH Spends,Yes,OTHER,,Not an actual expense.. but this much spend to get the shift go smoothly.
30-06-16,12:00 PM,ASIANET BROADBAND,"3,000",CASH Spends,Yes,BILLS,,
30-06-16,12:00 PM,ASIANET TV,"2,000",CASH Spends,Yes,BILLS,,
30-06-16,12:00 PM,MILK,470,CASH Spends,Yes,BILLS,,
30-06-16,12:00 PM,MAINTENANCE,"2,000",CASH Spends,Yes,BILLS,,
30-06-16,12:00 PM,RENT,"5,000",CASH Spends,Yes,TRANSFER,,House rent
30-06-16,12:52 PM,SEA SHELL,953,CitiBank credit 4456,Yes,FOOD & DRINKS,,
30-06-16,09:56 PM,SAVOURY SEASHEL,305,CitiBank credit 4456,Yes,FOOD & DRINKS,,
01-07-16,11:02 AM,IRCTC,513,CitiBank credit 4456,Yes,TRAVEL,#Online,
02-07-16,08:58 AM,LUXE - JAZZ CINEMAS,430,CitiBank credit 4456,Yes,ENTERTAINMENT,,
02-07-16,01:33 PM,SHOPPERS STOP,"1,081.5",CitiBank credit 4456,Yes,SHOPPING,,
03-07-16,07:33 PM,ELITE SUPER MARKET,422,CitiBank credit 4456,Yes,GROCERIES,,
03-07-16,08:02 PM,MOOLANS MEGA MART,"1,185.73",CitiBank credit 4456,Yes,GROCERIES,,
04-07-16,10:06 PM,PRICELINE.COM,"2,630",CitiBank credit 4456,Yes,TRAVEL,,
04-07-16,11:02 PM,GOIBIBO,"3,039",CitiBank credit 4456,Yes,TRAVEL,#Online,
05-07-16,08:51 AM,AGODA HOTEL RES,"3,596",CitiBank credit 4456,Yes,TRAVEL,,
05-07-16,12:00 PM,EMI,"3,500",CASH Spends,Yes,EMI,,
